[0.022s] Invoking command in '/home/robot/app/robot_ws/build/micro_ros_setup': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/robot/app/robot_ws/build/micro_ros_setup -- -j8 -l8
[0.141s] -- Found ament_cmake: 1.3.10 (/opt/ros/humble/share/ament_cmake/cmake)
[0.606s] -- Configuring done
[0.613s] -- Generating done
[0.614s] -- Build files have been written to: /home/robot/app/robot_ws/build/micro_ros_setup
[0.646s] Invoked command in '/home/robot/app/robot_ws/build/micro_ros_setup' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/robot/app/robot_ws/build/micro_ros_setup -- -j8 -l8
[0.691s] Invoking command in '/home/robot/app/robot_ws/build/micro_ros_setup': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/robot/app/robot_ws/build/micro_ros_setup
[0.702s] -- Install configuration: ""
[0.702s] -- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/ament_index/resource_index/package_run_dependencies/micro_ros_setup
[0.703s] -- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/ament_index/resource_index/parent_prefix_path/micro_ros_setup
[0.703s] -- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/environment/ament_prefix_path.sh
[0.703s] -- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/environment/ament_prefix_path.dsv
[0.704s] -- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/environment/path.sh
[0.704s] -- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/environment/path.dsv
[0.704s] -- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.bash
[0.704s] -- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.sh
[0.705s] -- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.zsh
[0.705s] -- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.dsv
[0.705s] -- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/package.dsv
[0.705s] -- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/ament_index/resource_index/packages/micro_ros_setup
[0.706s] -- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/cmake/micro_ros_setupConfig.cmake
[0.706s] -- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/cmake/micro_ros_setupConfig-version.cmake
[0.706s] -- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/share/micro_ros_setup/package.xml
[0.706s] -- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config
[0.706s] -- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra
[0.707s] -- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra/dev_uros_packages.repos
[0.708s] -- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra/dev_ros2_packages.txt
[0.708s] -- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra/list_apps.sh
[0.709s] -- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5
[0.709s] -- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/create.sh
[0.709s] -- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/build.sh
[0.710s] -- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/configure.sh
[0.710s] -- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/client-colcon.meta
[0.710s] -- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/flash.sh
[0.711s] -- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/client_uros_packages.repos
[0.711s] -- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/board.repos
[0.711s] -- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/zephyr
[0.712s] -- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/zephyr/dev_uros_packages.repos
[0.712s] -- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/zephyr/dev_ros2_packages.txt
[0.712s] -- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/zephyr/list_apps.sh
[0.713s] -- Up-to-date: /home/robot/app/robot_ws/install/micro_ros_setup/./config/zephyr/generic
[0.713s] -- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/zephyr/generic/supported_platforms
[0.713s] -- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/zephyr/generic/package.xml
[0.713s] -- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/zephyr/generic/create.sh
[0.714s] -- Installing: /home/robot/app/robot_ws/install/micro_ros_setup/./config/zephyr/generic/build.sh
